ItemTekstMan,Item,Focus,QuestAns,ItemTekst,Version,CorrAns,questions,ChangeWord2ndpres,Cleft,ChangeWord1thpres,type,Ynans,ID,n,ChangeResponse_raw,QuestResponse.rt_mean,QuestResponse.rt_raw,QuestResponse.rt_std,YNResp.corr_mean,YNResp.corr_raw,YNResp.corr_std,YNResp.keys_raw,YNResp.rt_mean,YNResp.rt_raw,YNResp.rt_std,changeResponse.corr_mean,changeResponse.corr_raw,changeResponse.corr_std,changeResponse.rt_mean,changeResponse.rt_raw,changeResponse.rt_std,quest_response_raw,order,Education,Participant,gender,frameRate,Age,List,date,reading language,expName,handedness,Native language
Jeg er skrevet på sådan en venteliste i toget med at jeg vil gerne lære at spille guitar            ,f20,n/a,n/a,Jeg er skrevet på sådan en venteliste i klubben med at jeg vil gerne lære at spille guitar            ,f,klubben,0,toget,n/a,klubben,filler,1,f20,1,'klubben',0.021499682,0.021499682,0,1,1,0,'1',2.019382715,2.019382715,0,1,1,0,2.564632177,2.564632177,0,'',44,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
På beboermødet fik min socialrådgiver sådan en raptus med at nu ville hun ligesom prøve at bo i noget moderne byggeri         ,f22,n/a,n/a,På beboermødet fik min mor sådan en raptus med at nu ville hun ligesom prøve at bo i noget moderne byggeri         ,f,mor,0,socialrådgiver,n/a,mor,filler,1,f22,1,'mor',0.027506329,0.027506329,0,1,1,0,'1',2.280986547,2.280986547,0,1,1,0,2.364679337,2.364679337,0,'',28,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Man har fra parkgængernes side syntes at nu var det altså for dyrt  ,f24,n/a,n/a,Man har fra beboernes side syntes at nu var det altså for dyrt,f,beboernes,0,parkgængernes,n/a,beboernes,filler,1,f24,1,'beboernes',0.030347532,0.030347532,0,1,1,0,'1',3.341912746,3.341912746,0,1,1,0,3.98075676,3.98075676,0,'',2,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Det var toget vi var med hen til museet,1,y,n/a,Det var bussen vi var med hen til museet,a,bussen,0,toget,y,bussen,item,1,1a,1,'bussen',0.017790308,0.017790308,0,1,1,0,'1',0.917025924,0.917025924,0,1,1,0,1.764977455,1.764977455,0,'',20,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Det er de to vildbasser jeg har at holde styr på i min lille bedrift,2,n,n/a,Det er de to vildbasser jeg har at holde styr på i min lille gesjæft,b,gesjæft,0,bedrift,y,gesjæft,item,1,2b,1,u'gesj\xe6ft',0.027777974,0.027777974,0,1,1,0,'1',1.326688528,1.326688528,0,1,1,0,2.148188114,2.148188114,0,'',23,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Man hørte den historie i min generation i hvert fald,3,y,n/a,Man hørte den fortælling i min generation i hvert fald,c,fortælling,0,historie,n,fortælling,item,1,3c,1,u'fort\xe6lling',0.025144914,0.025144914,0,1,1,0,'1',1.530722737,1.530722737,0,1,1,0,3.897460222,3.897460222,0,'',32,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Man husker sådan en aften resten af livet uanset hvad der sker,4,n,n/a,Man husker sådan en aften resten af tiden uanset hvad der sker,d,tiden,0,livet,n,tiden,item,1,4d,1,'',0.019008059,0.019008059,0,0,0,0,'0',3.260930777,3.260930777,0,0,0,0,0.027166372,0.027166372,0,'',18,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Det var den vej jeg boede på i starten af min uddannelse i København,5,y,I starten af sin uddanndelse,Det var den gade jeg boede på i starten af min uddannelse i København,a,gade,Hvornår boede personen i København?,vej,y,gade,item,1,5a,1,'gade',9.440187454,9.440187454,0,1,1,0,'1',1.091082335,1.091082335,0,1,1,0,2.031539917,2.031539917,0,u'i starten af sin uddannelse',31,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Det var et stort land vi skulle køre igennem på turen,6,n,n/a,Det var et stort land vi skulle køre igennem på ferien,b,ferien,0,turen,y,ferien,item,1,6b,1,'ferien',0.020111954,0.020111954,0,1,1,0,'1',2.813301563,2.813301563,0,1,1,0,2.048163414,2.048163414,0,'',6,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Kommandantskabet står for vedligeholdelsen af de ydre vægge,7,y,n/a,Kommandantskabet står for vedligeholdelsen af de ydre mure,c,mure,0,vægge,n,mure,item,1,7c,1,'mure',0.024246916,0.024246916,0,1,1,0,'1',2.393826485,2.393826485,0,1,1,0,1.165168166,1.165168166,0,'',38,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
